#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
,,,3.4285e-09;3.68676e-09;4.9131e-09;5.06955e-09;6.34902e-09;8.7002e-09;1.22699e-08;1.78523e-08;1.91597e-08;3.42654e-08;6.22188e-08;2.69029e-07,0.152491;0.49994;0.113517;0.0807441;0.00138574;0.0431831;0.00476291;0.000852098;0.0027459;0.000345921;1.78139e-05;3.5185e-05,1;1;1;1;1;1;1;1;1;1;1;1
,,,2.59835e-09,1.36465,1
,,,4.15352e-09,1.00251,3
1.86642e-10,0.0446824,2,,,
,,,4.66073e-09,0.957591,2
1.56704e-10,0.132315,0,,,
,,,4.52275e-09,0.635436,1
1.56423e-10;2.2212e-10,0.23805;0.616383,1;3,2.43167e-09,3.33281,3
,,,6.19595e-09;7.19171e-09;1.07998e-08;1.21182e-08,0.144481;0.116389;0.028699;0.0014235,0;0;0;0
2.34468e-10;2.03253e-10,0.189437;0.23407,3;3,5.70961e-09,0.653983,2
1.99145e-10;2.09507e-10;1.9399e-10,0.306004;0.285522;0.0343428,0;0;2,,,
1.62494e-10,2.44932,0,4.0746e-09;8.00866e-09,0.495648;0.0612804,0;0
2.02351e-10;1.56239e-10,0.424096;0.0235307,1;1,,,
1.62488e-10;2.31355e-10;3.3653e-10;3.69534e-10;1.49329e-10;2.32118e-10,0.00899691;0.0469256;0.0773042;0.00997103;0.222241;0.00200024,0;0;0;0;0;0,,,
1.45977e-10;1.91812e-10,0.328618;0.235299,0;3,3.01093e-09;9.00268e-09;1.1435e-08;1.46021e-08;2.8884e-09;9.04611e-09;9.18391e-09;1.17708e-08,0.131274;0.125144;0.00211116;0.000580709;1.01948;0.171437;0.0320357;0.00296655,0;0;0;0;3;3;3;3
1.54603e-10;1.50449e-10,0.0614867;0.039812,1;1,2.81257e-08;3.20889e-08;3.71209e-08;4.1426e-08;5.87434e-08;6.01061e-08;7.2211e-08;1.05512e-07;5.20267e-09;5.59599e-09;6.697e-09;5.45901e-09;5.49307e-09,0.124452;0.0594389;0.00352937;0.00129292;0.000938031;9.79364e-05;0.000104484;0.000110129;0.0988907;0.372613;0.190337;0.343926;0.0165832,0;0;0;0;0;0;0;0;1;1;1;1;1
1.73647e-10;2.71257e-10,0.478723;0.058777,1;1,,,
1.50822e-10;2.014e-10,0.233445;0.0753453,0;0,2.98356e-09,0.548549,1
1.98786e-10;1.68812e-10,0.0709533;0.240125,0;1,,,
1.53128e-10;1.63406e-10;1.90446e-10,0.136931;0.114039;0.115899,0;1;3,,,
,,,5.66411e-09;9.3249e-09;1.00443e-08;1.07074e-08;1.09333e-08;9.50362e-08;1.00064e-07,0.250023;0.0211692;0.00460022;0.0468098;0.022168;0.00450075;0.00421589,0;0;0;0;0;1;1
1.46133e-10,0.0795407,1,2.9871e-09;3.46756e-09,1.52908;0.024129,1;1
1.70513e-10,0.420708,0,2.19482e-09;2.65758e-09,1.36025;1.47631,0;0
2.19733e-10,1.5868,3,2.13559e-08;2.72416e-08;3.41391e-08;1.04492e-07,0.0145225;0.00723937;0.000142721;0.000386255,0;0;0;0
1.67265e-10,0.0568467,1,,,
1.63843e-10,0.832734,1,,,
,,,2.78221e-09;5.26524e-09;5.38401e-09;5.47505e-09,0.314103;0.204903;0.153556;0.00923554,0;1;1;1
1.66586e-10,0.346613,0,,,
,,,8.06071e-09;8.13825e-09,0.183767;0.0320283,2;2
,,,7.00316e-09;1.53924e-08;1.64017e-08;1.79743e-08;2.47082e-08;3.04111e-09;2.62196e-07;3.109e-07;3.52141e-07;4.0867e-07,0.169782;0.0362763;0.00135479;0.00033402;0.00112108;0.655903;0.00021354;6.98573e-05;0.000550208;6.99058e-05,0;0;0;0;0;2;3;3;3;3
1.68387e-10;2.13546e-10;3.89706e-10;4.25557e-10,0.137757;0.153785;0.0570529;0.0266206,1;2;3;3,,,
1.70147e-10;2.04964e-10,0.0976904;0.0623541,0;0,4.97806e-09,0.601663,2
2.0975e-10,0.600784,2,3.98591e-09,0.0742585,3
1.77121e-10;2.15907e-10,0.166316;0.0957477,1;1,,,
1.68414e-10,0.0560351,1,,,
1.49275e-10;9.06729e-10;1.03207e-09;1.07904e-09;1.10834e-09;5.12551e-10,0.140194;0.0110712;0.00635255;0.000461791;0.0127304;0.0458836,0;0;0;0;0;1,,,
1.68317e-10,0.0272075,0,,,
1.48937e-10;1.50567e-10,0.0918872;0.32379,0;1,,,
1.69928e-10;2.35954e-10,0.536142;0.000531326,1;1,,,
1.56512e-10,0.634506,1,,,
1.74884e-10;1.95792e-10;1.51858e-10;3.23131e-10,1.71139;0.00663862;0.31672;0.0124915,0;0;1;1,4.5627e-09;7.49147e-09,1.14262;0.628204,1;1
1.73729e-10,0.692078,0,2.10479e-09;3.15025e-09;3.4279e-09;7.46739e-09;1.62596e-08;1.69015e-08;1.78489e-08;2.5926e-08,1.33533;0.576696;0.0179925;0.109545;0.0365879;0.0123116;0.0180958;0.00740142,0;0;0;0;0;0;0;0
2.0021e-10;2.64484e-10,0.198864;0.00125066,3;3,1.81882e-09;5.45272e-09;8.152e-09,2.63401;0.0919124;0.0976533,0;0;0
1.65577e-10,0.027538,0,,,
1.68664e-10,0.0366948,0,5.99301e-09;6.21987e-09,0.229594;0.0183616,0;0
1.61165e-10;1.84634e-10;2.09353e-10,0.0256096;0.0843324;0.256835,0;0;3,,,
1.81546e-10;1.83714e-10;3.20072e-10;1.86985e-10,0.170498;0.202888;0.0661077;0.326004,0;0;0;2,,,
,,,4.19226e-09;5.76454e-09;6.49445e-09,0.030232;0.33413;0.542787,2;2;2
1.59232e-10,0.412732,0,,,
,,,2.58574e-09;2.67897e-09;3.33339e-09,1.74814;0.0616025;0.39295,0;0;0
,,,1.5685e-09;1.96205e-09,3.85122;0.326149,1;1
1.48467e-10;1.91917e-10,0.00710141;0.0550783,1;1,1.96428e-09,3.61208,0
1.58974e-10;2.89183e-10;3.01667e-10,0.668573;0.0515284;0.00958202,0;0;0,5.16128e-09,0.205128,3
,,,1.56465e-09,3.44576,0
1.49258e-10;4.47805e-10;5.94699e-10,0.174273;0.0185981;0.0351313,0;1;1,4.78877e-09,0.327802,3
1.49275e-10;4.07136e-10,0.229813;0.0225531,0;2,2.53242e-09;3.29221e-09;7.29399e-09;7.49329e-09;7.53197e-09,1.36885;0.366805;0.000547129;0.0143632;0.00140959,1;1;1;1;1
1.52928e-10;2.01071e-10,0.104965;0.0116816,1;3,7.20986e-09;8.81708e-09,0.157206;0.109846,2;2
,,,2.23062e-09,1.25711,1
1.55162e-10,0.201966,1,,,
,,,4.17714e-09;4.99515e-09;6.6772e-09;8.47232e-09;1.06322e-08;1.08022e-08;1.39414e-08;1.87706e-09;4.60351e-07;4.87007e-07;5.50787e-07,0.751899;0.0439629;0.103947;0.0507402;0.0258872;0.00432289;0.000675215;0.607011;2.30118e-05;3.22241e-05;0.000101508,0;0;0;0;0;0;0;1;3;3;3
1.63436e-10;2.94961e-10;3.23617e-10;1.97202e-10,0.0922639;0.0284077;0.0415696;0.851843,1;1;1;2,4.01076e-09;4.28483e-09,0.308326;0.395513,1;1
2.12867e-10,0.033792,3,2.66512e-09;3.45838e-09;5.24149e-09,1.2352;0.0710353;0.206236,1;1;1
,,,2.18696e-09,1.24115,0
1.97313e-10,0.128391,2,,,
2.03086e-10;1.89806e-10,0.0137039;0.0168779,1;1,,,
1.97921e-10;2.19456e-10,0.127347;0.285221,0;0,2.00322e-09,3.2568,1
1.50239e-10,0.0352057,0,2.16513e-09,0.497648,0
1.59599e-10;1.56211e-10,0.175061;0.342089,0;0,,,
1.8233e-10;2.24868e-10,0.0436348;1.07795,1;3,,,
,,,3.60027e-09;4.97807e-09;6.87199e-09,0.0472758;0.363344;0.0838502,1;1;1
1.53161e-10;1.83422e-10,0.0265569;0.0799099,0;3,,,
,,,1.92543e-09,0.771925,0
,,,3.05299e-09;3.87527e-09;4.00251e-09,0.204987;0.0997108;0.246847,1;1;1
1.71083e-10,0.0813171,0,,,
1.75421e-10,0.321725,0,,,
